Mars solar minimum

Z: altitude (km)
TN,TI,TE: temperature (K)
SZA=44 deg
----------------------------------

  Z      TN        TI        TE   
 808 1.980E+02 4.450E+03 3.660E+03
 812 1.980E+02 4.450E+03 3.660E+03
 816 1.980E+02 4.450E+03 3.660E+03
 820 1.980E+02 4.450E+03 3.660E+03
 824 1.980E+02 4.450E+03 3.660E+03
 828 1.980E+02 4.450E+03 3.660E+03
 832 1.980E+02 4.450E+03 3.660E+03
 836 1.980E+02 4.450E+03 3.660E+03
 840 1.980E+02 4.450E+03 3.660E+03
 844 1.980E+02 4.450E+03 3.660E+03
 848 1.980E+02 4.450E+03 3.660E+03
 852 1.980E+02 4.450E+03 3.660E+03
 856 1.980E+02 4.450E+03 3.660E+03
 860 1.980E+02 4.450E+03 3.660E+03
 864 1.980E+02 4.450E+03 3.660E+03
 868 1.980E+02 4.450E+03 3.660E+03
 872 1.980E+02 4.450E+03 3.660E+03
 876 1.980E+02 4.450E+03 3.660E+03
 880 1.980E+02 4.450E+03 3.660E+03
 884 1.980E+02 4.450E+03 3.660E+03
 888 1.980E+02 4.450E+03 3.660E+03
 892 1.980E+02 4.450E+03 3.660E+03
 896 1.980E+02 4.450E+03 3.660E+03
 900 1.980E+02 4.450E+03 3.660E+03
 904 1.980E+02 4.450E+03 3.660E+03
 908 1.980E+02 4.450E+03 3.660E+03
 912 1.980E+02 4.450E+03 3.660E+03
 916 1.980E+02 4.450E+03 3.660E+03
 920 1.980E+02 4.450E+03 3.660E+03
 924 1.980E+02 4.450E+03 3.660E+03
 928 1.980E+02 4.450E+03 3.660E+03
 932 1.980E+02 4.450E+03 3.660E+03
 936 1.980E+02 4.450E+03 3.660E+03
 940 1.980E+02 4.450E+03 3.660E+03
 944 1.980E+02 4.450E+03 3.660E+03
 948 1.980E+02 4.450E+03 3.660E+03
 952 1.980E+02 4.450E+03 3.660E+03
 956 1.980E+02 4.450E+03 3.660E+03
 960 1.980E+02 4.450E+03 3.660E+03
 964 1.980E+02 4.450E+03 3.660E+03
 968 1.980E+02 4.450E+03 3.660E+03
 972 1.980E+02 4.450E+03 3.660E+03
 976 1.980E+02 4.450E+03 3.660E+03
 980 1.980E+02 4.450E+03 3.660E+03
 984 1.980E+02 4.450E+03 3.660E+03
 988 1.980E+02 4.450E+03 3.660E+03
 992 1.980E+02 4.450E+03 3.660E+03
 996 1.980E+02 4.450E+03 3.660E+03
1000 1.980E+02 4.450E+03 3.660E+03
1004 1.980E+02 4.450E+03 3.660E+03
1008 1.980E+02 4.450E+03 3.660E+03
1012 1.980E+02 4.450E+03 3.660E+03
1016 1.980E+02 4.450E+03 3.660E+03
1020 1.980E+02 4.450E+03 3.660E+03
1024 1.980E+02 4.450E+03 3.660E+03
1028 1.980E+02 4.450E+03 3.660E+03
1032 1.980E+02 4.450E+03 3.660E+03
1036 1.980E+02 4.450E+03 3.660E+03
1040 1.980E+02 4.450E+03 3.660E+03
1044 1.980E+02 4.450E+03 3.660E+03
1048 1.980E+02 4.450E+03 3.660E+03
1052 1.980E+02 4.450E+03 3.660E+03
1056 1.980E+02 4.450E+03 3.660E+03
1060 1.980E+02 4.450E+03 3.660E+03
1064 1.980E+02 4.450E+03 3.660E+03
1068 1.980E+02 4.450E+03 3.660E+03
1072 1.980E+02 4.450E+03 3.660E+03
1076 1.980E+02 4.450E+03 3.660E+03
1080 1.980E+02 4.450E+03 3.660E+03
1084 1.980E+02 4.450E+03 3.660E+03
1088 1.980E+02 4.450E+03 3.660E+03
1092 1.980E+02 4.450E+03 3.660E+03
1096 1.980E+02 4.450E+03 3.660E+03
1100 1.980E+02 4.450E+03 3.660E+03
1104 1.980E+02 4.450E+03 3.660E+03
1108 1.980E+02 4.450E+03 3.660E+03
1112 1.980E+02 4.450E+03 3.660E+03
1116 1.980E+02 4.450E+03 3.660E+03
1120 1.980E+02 4.450E+03 3.660E+03
1124 1.980E+02 4.450E+03 3.660E+03
1128 1.980E+02 4.450E+03 3.660E+03
1132 1.980E+02 4.450E+03 3.660E+03
1136 1.980E+02 4.450E+03 3.660E+03
1140 1.980E+02 4.450E+03 3.660E+03
1144 1.980E+02 4.450E+03 3.660E+03
1148 1.980E+02 4.450E+03 3.660E+03
1152 1.980E+02 4.450E+03 3.660E+03
1156 1.980E+02 4.450E+03 3.660E+03
1160 1.980E+02 4.450E+03 3.660E+03
1164 1.980E+02 4.450E+03 3.660E+03
1168 1.980E+02 4.450E+03 3.660E+03
