Mars solar minimum

Z: altitude (km)
CO2,N2,O,H,hotO: number density (cm-3)
SZA=44 deg
------------------------------------------------------

  Z     CO2        N2         O         H      hotO   
 608 1.695E-07 1.290E-02 2.524E+02 5.142E+04 1.926E+03
 612 1.249E-07 1.062E-02 2.258E+02 5.120E+04 1.899E+03
 616 9.199E-08 8.740E-03 2.021E+02 5.097E+04 1.873E+03
 620 6.777E-08 7.196E-03 1.808E+02 5.075E+04 1.847E+03
 624 4.993E-08 5.924E-03 1.618E+02 5.053E+04 1.822E+03
 628 3.679E-08 4.877E-03 1.448E+02 5.031E+04 1.797E+03
 632 2.710E-08 4.015E-03 1.295E+02 5.009E+04 1.772E+03
 636 1.997E-08 3.306E-03 1.159E+02 4.988E+04 1.748E+03
 640 1.471E-08 2.722E-03 1.037E+02 4.966E+04 1.724E+03
 644 1.084E-08 2.241E-03 9.280E+01 4.945E+04 1.700E+03
 648 7.984E-09 1.845E-03 8.304E+01 4.923E+04 1.676E+03
 652 5.882E-09 1.519E-03 7.430E+01 4.902E+04 1.653E+03
 656 4.334E-09 1.250E-03 6.648E+01 4.880E+04 1.631E+03
 660 3.193E-09 1.029E-03 5.949E+01 4.859E+04 1.608E+03
 664 2.352E-09 8.475E-04 5.323E+01 4.838E+04 1.586E+03
 668 1.733E-09 6.977E-04 4.763E+01 4.817E+04 1.564E+03
 672 1.277E-09 5.744E-04 4.262E+01 4.796E+04 1.543E+03
 676 9.407E-10 4.729E-04 3.813E+01 4.775E+04 1.521E+03
 680 6.930E-10 3.893E-04 3.412E+01 4.755E+04 1.500E+03
 684 5.106E-10 3.205E-04 3.053E+01 4.734E+04 1.480E+03
 688 3.762E-10 2.639E-04 2.732E+01 4.713E+04 1.459E+03
 692 2.771E-10 2.173E-04 2.444E+01 4.693E+04 1.439E+03
 696 2.042E-10 1.789E-04 2.187E+01 4.673E+04 1.420E+03
 700 1.504E-10 1.473E-04 1.957E+01 4.652E+04 1.400E+03
 704 1.108E-10 1.212E-04 1.751E+01 4.632E+04 1.387E+03
 708 8.165E-11 9.981E-05 1.567E+01 4.612E+04 1.375E+03
 712 6.015E-11 8.217E-05 1.402E+01 4.592E+04 1.362E+03
 716 4.432E-11 6.765E-05 1.255E+01 4.572E+04 1.350E+03
 720 3.265E-11 5.569E-05 1.123E+01 4.552E+04 1.338E+03
 724 2.405E-11 4.585E-05 1.004E+01 4.532E+04 1.326E+03
 728 1.772E-11 3.775E-05 8.988E+00 4.513E+04 1.314E+03
 732 1.306E-11 3.108E-05 8.042E+00 4.493E+04 1.302E+03
 736 9.619E-12 2.559E-05 7.196E+00 4.474E+04 1.290E+03
 740 7.087E-12 2.106E-05 6.439E+00 4.454E+04 1.279E+03
 744 5.221E-12 1.734E-05 5.761E+00 4.435E+04 1.267E+03
 748 3.847E-12 1.428E-05 5.155E+00 4.416E+04 1.256E+03
 752 2.834E-12 1.175E-05 4.613E+00 4.399E+04 1.245E+03
